"Section SIS ID","SIS ID"
"18015","10891"
"18015","13836"
"18015","13849"
"18015","13873"
"18015","13966"
"18015","13992"
"18015","14000"
"18015","14009"
"18015","14056"
"18015","14070"
"18015","14151"
"18015","14155"
"18015","14177"
"18015","14207"
"18015","14338"
"18015","14372"
"18015","14505"
"18015","14542"
"18015","14915"
"18015","14922"
"18015","14984"
"18015","15035"
"18015","15085"
"18015","15113"
"18015","15146"
"18015","15148"
"18015","15274"
"18015","15309"
"18015","15646"
"18015","15666"
"18015","15982"
"18015","18440"
"18015","18647"
"18015","18733"
"18015","18751"
"18015","18754"
"18015","18760"
"18015","18820"
"18015","18852"
"18015","18893"
"18015","19019"
"18015","19309"
"18015","19317"
"18015","19475"
"18015","19700"
"18015","19853"
"18015","19972"
"18015","19976"
"18015","20130"
"18015","20207"
"18016","13807"
"18016","13836"
"18016","13868"
"18016","13931"
"18016","13966"
"18016","14056"
"18016","14155"
"18016","14332"
"18016","14372"
"18016","14505"
"18016","14506"
"18016","14842"
"18016","15148"
"18016","15309"
"18016","15319"
"18016","18440"
"18016","18566"
"18016","18582"
"18016","18647"
"18016","18717"
"18016","18733"
"18016","18751"
"18016","18775"
"18016","18820"
"18016","18853"
"18016","18862"
"18016","18880"
"18016","18883"
"18016","18893"
"18016","18894"
"18016","18896"
"18016","18906"
"18016","18942"
"18016","18972"
"18016","18986"
"18016","18988"
"18016","19019"
"18016","19091"
"18016","19120"
"18016","19165"
"18016","19309"
"18016","19317"
"18016","19437"
"18016","19475"
"18016","19700"
"18016","19849"
"18016","19853"
"18016","19972"
"18016","19976"
"18016","19992"
"18016","19996"
"18016","20130"
"18016","20207"
"18017","18566"
"18017","18947"
"18017","19091"
"18017","19243"
"18017","19992"
"18017","20507"
"18017","20696"
"18017","23767"
"18017","23813"
"18017","23822"
"18017","23829"
"18017","23875"
"18017","23876"
"18017","23887"
"18017","23901"
"18017","23906"
"18017","23928"
"18017","23939"
"18017","23941"
"18017","23995"
"18017","24018"
"18017","24029"
"18017","24041"
"18017","24047"
"18017","24049"
"18017","24052"
"18017","24062"
"18017","24066"
"18017","24079"
"18017","24083"
"18017","24119"
"18017","24121"
"18017","24124"
"18017","24171"
"18017","24244"
"18017","24246"
"18017","24252"
"18017","24295"
"18017","24298"
"18017","24308"
"18017","24315"
"18017","24317"
"18017","24371"
"18017","24389"
"18017","24470"
"18017","24499"
"18017","24513"
"18017","24544"
"18017","24577"
"18017","24607"
"18017","24609"
"18017","24611"
"18017","24641"
"18017","24667"
"18017","24699"
"18017","24723"
"18017","24758"
"18017","24786"
"18017","24796"
"18017","24814"
"18017","24829"
"18017","24864"
"18017","24880"
"18017","24929"
"18017","24942"
"18017","24991"
"18017","25020"
"18017","25052"
"18017","25063"
"18017","25106"
"18017","25168"
"18017","25193"
"18017","25252"
"18017","25283"
"18017","25341"
"18017","25684"
"18017","26935"
"18017","30714"
"18017","30920"
"18017","31385"
"18017","31486"
"18017","32423"
"18018","14272"
"18018","14299"
"18018","18424"
"18018","19025"
"18018","20054"
"18018","23934"
"18018","24854"
"18018","25066"
"18018","25117"
"18018","25239"
"18018","30368"
"18018","31170"
"18019","10399"
"18019","10891"
"18019","14151"
"18019","14332"
"18019","14408"
"18019","14505"
"18019","14542"
"18019","15043"
"18019","15309"
"18019","15646"
"18019","15982"
"18019","18402"
"18019","18440"
"18019","18457"
"18019","18497"
"18019","18566"
"18019","18582"
"18019","18647"
"18019","18717"
"18019","18733"
"18019","18751"
"18019","18754"
"18019","18775"
"18019","18820"
"18019","18852"
"18019","18853"
"18019","18854"
"18019","18880"
"18019","18883"
"18019","18893"
"18019","18894"
"18019","18896"
"18019","18928"
"18019","18942"
"18019","18986"
"18019","18988"
"18019","19009"
"18019","19019"
"18019","19091"
"18019","19120"
"18019","19165"
"18019","19309"
"18019","19317"
"18019","19437"
"18019","19475"
"18019","19488"
"18019","19700"
"18019","19849"
"18019","19892"
"18019","19972"
"18019","19976"
"18019","19996"
"18019","20130"
"18019","20207"
"18019","23767"
"18019","23822"
"18019","23901"
"18019","23906"
"18019","24018"
"18019","24047"
"18019","24315"
"18019","24611"
"18019","24667"
"18019","24781"
"18019","25063"
"18019","25193"
"18019","25252"
"18019","25283"
"18019","25341"
"18019","26935"
"18019","32423"
"18021","13912"
"18021","18524"
"18021","19906"
"18021","23803"
"18021","23842"
"18021","23999"
"18023","10691"
"18023","10787"
"18023","10940"
"18023","13801"
"18023","13849"
"18023","13908"
"18023","13931"
"18023","13953"
"18023","14043"
"18023","14046"
"18023","14070"
"18023","14132"
"18023","14154"
"18023","14221"
"18023","14438"
"18023","15113"
"18023","15317"
"18023","15508"
"18023","15982"
"18023","18894"
"18023","20763"
"18023","23757"
"18023","23758"
"18023","24418"
"18023","26626"
"18023","32817"
"18023","5552"
"18023","6709"
"18023","7332"
"18023","7475"
"18023","8164"
"18023","9592"
"18023","9672"
"18023","9920"
"18024","10399"
"18024","13807"
"18024","13830"
"18024","13836"
"18024","13851"
"18024","13868"
"18024","13931"
"18024","13966"
"18024","14000"
"18024","14009"
"18024","14046"
"18024","14074"
"18024","14151"
"18024","14154"
"18024","14161"
"18024","14177"
"18024","14207"
"18024","14332"
"18024","14346"
"18024","14372"
"18024","14408"
"18024","14505"
"18024","14506"
"18024","14842"
"18024","14915"
"18024","14984"
"18024","15043"
"18024","15085"
"18024","15113"
"18024","15146"
"18024","15274"
"18024","15309"
"18024","15666"
"18024","18837"
"18024","18862"
"18024","18972"
"18025","13801"
"18025","13908"
"18025","14031"
"18025","14046"
"18025","14074"
"18025","14132"
"18025","14139"
"18025","14154"
"18025","14161"
"18025","14221"
"18025","14346"
"18025","15039"
"18025","15730"
"18025","18906"
"18025","18960"
"18025","20763"
"18025","7332"
"18025","9920"
"18026","10940"
