"SIS ID","course_id","Section Name","Term StartDate","Term EndDate","created_at","restrict_enrollments_to_section_dates","nonxlist_course_id","sis_section_id","sis_course_id","integration_id","sis_import_id","School SIS ID"
"18214","20913","MICROELECTRONIC CIRCUITS I","","","2020-05-18T16:21:42Z","","","","ECE2201-A20-A02","","","1"
"18220","20914","INTRODUCTION TO LITERATURE","","","2020-05-18T16:21:47Z","","","","EN1251-A20-A01","","","1"
"18216","20915","DISCRETE-TIME SIGNAL AND SYSTEM ANALYSIS","","","2020-05-18T16:21:43Z","","","","ECE2312-A20-A01","","","1"
"18223","20916","INTRODUCTION TO LITERATURE","","","2020-05-18T16:21:48Z","","","","EN1251-A20-A02","","","1"
"18222","20917","INTRODUCTION TO RF CIRCUIT DESIGN","","","2020-05-18T16:21:47Z","","","","ECE3113-A20-A01","","","1"
"18244","20918","INTRODUCTION TO STATIC SYSTEMS","","","2020-05-18T16:21:58Z","","","","ES2501-A20-A01","","","1"
"18225","20919","INTRODUCTION TO AFRICAN AMERICAN LITERATURE AND CULTURE","","","2020-05-18T16:21:49Z","","","","EN1257-A20-A01","","","1"
"18213","20920","INTRODUCTION TO WIRELESS NETWORKS","","","2020-05-18T16:21:42Z","","","","ECE3308-A20-A01","","","1"
"18227","20922","CREATIVE WRITING","","","2020-05-18T16:21:50Z","","","","EN2219-A20-A01","","","1"
"18110","20923","CHEMICAL PROPERTIES, BONDING, AND FORCES","","","2020-05-18T16:20:38Z","","","","CH1010-A20-A01","","","1"
"18218","20924","ELECTRICAL ENERGY CONVERSION","","","2020-05-18T16:21:44Z","","","","ECE3501-A20-A01","","","1"
"18102","20925","CHEMICAL PROPERTIES, BONDING, AND FORCES","","","2020-05-18T16:20:32Z","","","","CH1010-A20-A02","","","1"
"18221","20926","ADVANCED DIGITAL SYSTEM DESIGN WITH FPGAs","","","2020-05-18T16:21:47Z","","","","ECE3829-A20-A01","","","1"
"18105","20927","CHEMICAL PROPERTIES, BONDING, AND FORCES","","","2020-05-18T16:20:33Z","","","","CH1010-A20-A03","","","1"
"18226","20928","ADVANCED DIGITAL SYSTEM DESIGN WITH FPGAs","","","2020-05-18T16:21:49Z","","","","ECE3829-A20-A02","","","1"
"18228","20930","ADVANCED DIGITAL SYSTEM DESIGN WITH FPGAs","","","2020-05-18T16:21:50Z","","","","ECE3829-A20-A03","","","1"
"18233","20937","CREATIVE WRITING","","","2020-05-18T16:21:52Z","","","","EN2219-A20-A02","","","1"
